Ename,Score,Percentage
國文,15,100
國文,14,97.33
國文,13,90.21
國文,12,77.31
國文,11,61.47
國文,10,45.71
國文,9,32.76
國文,8,22.7
國文,7,15.22
國文,6,9.9
國文,5,5.98
國文,4,3.23
國文,3,1.46
國文,2,0.39
國文,1,0.03
國文,0,0
英文,15,100
英文,14,96.28
英文,13,90.7
英文,12,83.45
英文,11,76.53
英文,10,68.97
英文,9,61.76
英文,8,53.96
英文,7,45.91
英文,6,37.93
英文,5,28.5
英文,4,19.06
英文,3,8.43
英文,2,1.33
英文,1,0.04
英文,0,0
數學,15,100
數學,14,98.59
數學,13,96.59
數學,12,93.96
數學,11,90.68
數學,10,85.62
數學,9,80.36
數學,8,74.39
數學,7,67.25
數學,6,57.8
數學,5,48.84
數學,4,38.97
數學,3,25.51
數學,2,12.86
數學,1,3.22
數學,0,0.07
社會,15,100
社會,14,96.05
社會,13,84.12
社會,12,70.88
社會,11,57.51
社會,10,42.12
社會,9,31.66
社會,8,22.57
社會,7,13.01
社會,6,6.84
社會,5,2.22
社會,4,0.58
社會,3,0.08
社會,2,0.01
社會,1,0
社會,0,0
自然,15,100
自然,14,95.5
自然,13,89.48
自然,12,82.02
自然,11,74.44
自然,10,66.67
自然,9,58.63
自然,8,49.84
自然,7,40.58
自然,6,30.07
自然,5,19.11
自然,4,8.72
自然,3,1.88
自然,2,0.1
自然,1,0.01
自然,0,0
總級分,75,100
總級分,74,99.91
總級分,73,99.68
總級分,72,99.36
總級分,71,98.85
總級分,70,98.17
總級分,69,97.42
總級分,68,96.49
總級分,67,95.55
總級分,66,94.45
總級分,65,93.22
總級分,64,91.92
總級分,63,90.52
總級分,62,89.05
總級分,61,87.51
總級分,60,85.88
總級分,59,84.14
總級分,58,82.33
總級分,57,80.47
總級分,56,78.55
總級分,55,76.58
總級分,54,74.48
總級分,53,72.32
總級分,52,70.17
總級分,51,67.89
總級分,50,65.58
總級分,49,63.21
總級分,48,60.81
總級分,47,58.4
總級分,46,55.92
總級分,45,53.34
總級分,44,50.89
總級分,43,48.38
總級分,42,45.88
總級分,41,43.32
總級分,40,40.81
總級分,39,38.39
總級分,38,35.88
總級分,37,33.39
總級分,36,31.11
總級分,35,28.8
總級分,34,26.49
總級分,33,24.31
總級分,32,22.22
總級分,31,20.22
總級分,30,18.24
總級分,29,16.34
總級分,28,14.53
總級分,27,12.84
總級分,26,11.22
總級分,25,9.63
總級分,24,8.12
總級分,23,6.71
總級分,22,5.44
總級分,21,4.3
總級分,20,3.19
總級分,19,2.31
總級分,18,1.63
總級分,17,1.1
總級分,16,0.76
總級分,15,0.53
總級分,14,0.39
總級分,13,0.3
總級分,12,0.25
總級分,11,0.19
總級分,10,0.15
總級分,9,0.12
總級分,8,0.09
總級分,7,0.07
總級分,6,0.05
總級分,5,0.04
總級分,4,0.03
總級分,3,0.02
總級分,2,0.01
總級分,1,0
總級分,0,0
