,學校名稱,縣市,PP
0,國立政治大學,台北市,公立
1,國立臺灣大學,台北市,公立
2,國立臺灣師範大學,台北市,公立
3,國立陽明大學,台北市,公立
4,國立臺灣科技大學,台北市,公立
5,國立臺北科技大學,台北市,公立
6,國立臺北藝術大學,台北市,公立
7,國立臺北護理健康大學,台北市,公立
8,國立臺北教育大學,台北市,公立
9,國立臺北商業大學,台北市,公立
10,國立臺灣戲曲學院,台北市,公立
11,東吳大學,台北市,私立
12,中國文化大學,台北市,私立
13,世新大學,台北市,私立
14,銘傳大學,台北市,私立
15,實踐大學,台北市,私立
16,大同大學,台北市,私立
17,臺北醫學大學,台北市,私立
18,中華科技大學,台北市,私立
19,德明財經科技大學,台北市,私立
20,中國科技大學,台北市,私立
21,臺北城市科技大學,台北市,私立
22,臺北市立大學,台北市,私立
23,國立臺北大學,新北市,公立
24,國立臺灣藝術大學,新北市,公立
25,輔仁大學,新北市,私立
26,淡江大學,新北市,私立
27,華梵大學,新北市,私立
28,真理大學,新北市,私立
29,明志科技大學,新北市,私立
30,景文科技大學,新北市,私立
31,聖約翰科技大學(新埔),新北市,私立
32,致理科技大學,新北市,私立
33,醒吾科技大學,新北市,私立
34,亞東技術學院,新北市,私立
35,東南科技大學,新北市,私立
36,宏國德霖科技大學,新北市,私立
37,黎明技術學院,新北市,私立
38,華夏科技大學,新北市,私立
39,台北海洋科技大學,新北市,私立
40,馬偕醫學院,新北市,私立
41,法鼓文理學院,新北市,私立
42,國立宜蘭大學,宜蘭縣,公立
43,佛光大學,宜蘭縣,私立
44,蘭陽技術學院(復興),宜蘭縣,私立
45,國立臺灣海洋大學,基隆市,公立
46,經國管理暨健康學院,基隆市,私立
47,崇右影藝科技大學,基隆市,私立
48,國立中央大學,桃園市,公立
49,國立體育大學,桃園市,公立
50,中原大學,桃園市,私立
51,長庚大學,桃園市,私立
52,元智大學,桃園市,私立
53,龍華科技大學,桃園市,私立
54,健行科技大學,桃園市,私立
55,萬能科技大學,桃園市,私立
56,開南大學,桃園市,私立
57,南亞技術學院,桃園市,私立
58,長庚科技大學,桃園市,私立
59,新竹縣市,新竹縣市,私立
60,國立清華大學,新竹縣市,公立
61,國立交通大學,新竹縣市,公立
62,中華大學,新竹縣市,私立
63,明新科技大學,新竹縣市,私立
64,玄奘大學,新竹縣市,私立
65,大華科技大學,新竹縣市,私立
66,元培醫事科技大學,新竹縣市,私立
67,國立聯合大學,苗栗縣,公立
68,育達科技大學,苗栗縣,私立
69,亞太創意技術學院,苗栗縣,私立
70,國立中興大學,台中市,公立
71,國立臺灣體育運動大學,台中市,公立
72,國立臺中教育大學,台中市,公立
73,國立臺中科技大學,台中市,公立
74,國立勤益科技大學,台中市,公立
75,東海大學,台中市,私立
76,逢甲大學,台中市,私立
77,靜宜大學,台中市,私立
78,朝陽科技大學,台中市,私立
79,中山醫學大學,台中市,私立
80,弘光科技大學,台中市,私立
81,中國醫藥大學,台中市,私立
82,中臺科技大學,台中市,私立
83,嶺東科技大學,台中市,私立
84,僑光科技大學,台中市,私立
85,修平科技大學,台中市,私立
86,亞洲大學,台中市,私立
87,國立彰化師範大學,彰化縣,公立
88,大葉大學,彰化縣,私立
89,建國科技大學,彰化縣,私立
90,中州科技大學,彰化縣,私立
91,明道大學,彰化縣,私立
92,國立暨南國際大學,南投縣,公立
93,南開科技大學,南投縣,私立
94,國立雲林科技大學,雲林縣,公立
95,國立虎尾科技大學,雲林縣,公立
96,環球科技大學,雲林縣,私立
97,嘉義縣市,嘉義縣市,私立
98,國立中正大學,嘉義縣市,公立
99,國立嘉義大學,嘉義縣市,公立
100,南華大學,嘉義縣市,私立
101,吳鳳科技大學,嘉義縣市,私立
102,稻江科技暨管理學院,嘉義縣市,私立
103,大同技術學院,嘉義縣市,私立
104,國立成功大學,台南市,公立
105,國立臺南藝術大學,台南市,公立
106,國立臺南大學,台南市,公立
107,南臺科技大學,台南市,私立
108,崑山科技大學,台南市,私立
109,嘉南藥理大學,台南市,私立
110,長榮大學,台南市,私立
111,台灣首府大學,台南市,私立
112,康寧大學,台南市,私立
113,中信金融管理學院,台南市,私立
114,台南應用科技大學,台南市,私立
115,遠東科技大學,台南市,私立
116,中華醫事科技大學,台南市,私立
117,南榮科技大學,台南市,私立
118,國立中山大學,高雄市,公立
119,國立高雄師範大學,高雄市,公立
120,國立高雄大學,高雄市,公立
121,國立高雄第一科技大學,高雄市,公立
122,國立高雄應用科技大學,高雄市,公立
123,國立高雄海洋科技大學,高雄市,公立
124,國立高雄餐旅大學,高雄市,公立
125,義守大學,高雄市,私立
126,高雄醫學大學,高雄市,私立
127,樹德科技大學,高雄市,私立
128,輔英科技大學,高雄市,私立
129,正修科技大學,高雄市,私立
130,高苑科技大學,高雄市,私立
131,文藻外語大學,高雄市,私立
132,和春技術學院,高雄市,私立
133,東方設計大學,高雄市,私立
134,國立屏東科技大學,屏東縣,公立
135,國立屏東大學,屏東縣,公立
136,永達技術學院,屏東縣,私立
137,大仁科技大學,屏東縣,私立
138,美和科技大學,屏東縣,私立
139,高鳳數位內容學院,屏東縣,私立
140,國立臺東大學,台東縣,公立
141,國立東華大學,花蓮縣,公立
142,慈濟大學,花蓮縣,私立
143,大漢技術學院,花蓮縣,私立
144,慈濟技術學院,花蓮縣,私立
145,臺灣觀光學院,花蓮縣,私立
146,國立澎湖科技大學,澎湖縣,公立
147,國立金門大學,金門縣,公立
148,臺北基督學院,新北市,私立
